Supplementary Table S1: List of all 576 raw LC-MS2 files processed in this study,,,,
,,,,
Source,Species,Tissue,LC-MS File,MSConvert to mzML
PXD050500,bread wheat,node,230221-RD-Node-Trypsin-lys-cHPLC-2_30-2_Slot2-89_1_655.d,no
PXD050500,bread wheat,node,230221-RD-Node-Trypsin-lys-cHPLC-3_30-1_Slot2-90_1_656.d,no
PXD050500,bread wheat,node,230221-RD-Node-Trypsin-lys-cHPLC-3_30-2_Slot2-90_1_657.d,no
PXD050500,bread wheat,node,230221-RD-Node-Trypsin-lys-cHPLC-4_30-1_Slot2-91_1_661.d,no
PXD050500,bread wheat,node,230221-RD-Node-Trypsin-lys-cHPLC-4_30-2_Slot2-91_1_662.d,no
PXD050500,bread wheat,node,230221-RD-Node-Trypsin-lys-cHPLC-5_30-1_Slot2-92_1_663.d,no
PXD050500,bread wheat,node,230221-RD-Node-Trypsin-lys-cHPLC-5_30-2_Slot2-92_1_664.d,no
PXD050500,bread wheat,node,230221-RD-Node-Trypsin-lys-cHPLC-6_30-1_Slot2-93_1_665.d,no
PXD050500,bread wheat,node,230221-RD-Node-Trypsin-lys-cHPLC-6_30-2_Slot2-93_1_666.d,no
PXD050500,bread wheat,node,230221-RD-Node-Trypsin-lys-cHPLC-7_30-1_Slot2-94_1_667.d,no
PXD050500,bread wheat,node,230221-RD-Node-Trypsin-lys-cHPLC-7_30-2_Slot2-94_1_668.d,no
PXD050500,bread wheat,node,230221-RD-Node-Trypsin-lys-cHPLC-8_30-1_Slot2-95_1_669.d,no
PXD050500,bread wheat,node,230221-RD-Node-Trypsin-lys-cHPLC-8_30-2_Slot2-95_1_670.d,no
PXD050500,bread wheat,node,230221-RD-Node-Trypsin-lys-cHPLC-9_30-1_Slot1-01_1_674.d,no
PXD050500,bread wheat,node,230221-RD-Node-Trypsin-lys-cHPLC-9_30-2_Slot1-01_1_675.d,no
PXD050500,bread wheat,node,230224-RD-Node-Trypsin-lys-cHPLC-13_30-1_Slot1-05_1_685.d,no
PXD050500,bread wheat,node,230224-RD-Node-Trypsin-lys-cHPLC-13_30-2_Slot1-05_1_686.d,no
PXD050500,bread wheat,node,230224-RD-Node-Trypsin-lys-cHPLC-14_30-1_Slot1-06_1_690.d,no
PXD050500,bread wheat,node,230224-RD-Node-Trypsin-lys-cHPLC-14_30-2_Slot1-06_1_691.d,no
PXD050500,bread wheat,node,230224-RD-Node-Trypsin-lys-cHPLC-15_30-1_Slot1-07_1_692.d,no
PXD050500,bread wheat,node,230224-RD-Node-Trypsin-lys-cHPLC-15_30-2_Slot1-07_1_693.d,no
PXD050500,bread wheat,node,230224-RD-Node-Trypsin-lys-cHPLC-16_30-1_Slot1-08_1_694.d,no
PXD050500,bread wheat,node,230224-RD-Node-Trypsin-lys-cHPLC-16_30-2_Slot1-08_1_695.d,no
PXD050500,bread wheat,node,230224-RD-Node-Trypsin-lys-cHPLC-17_30-1_Slot1-09_1_696.d,no
PXD050500,bread wheat,node,230224-RD-Node-Trypsin-lys-cHPLC-17_30-2_Slot1-09_1_697.d,no
PXD050500,bread wheat,node,230224-RD-Node-Trypsin-lys-cHPLC-18_30-1_Slot1-10_1_698.d,no
PXD050500,bread wheat,node,230224-RD-Node-Trypsin-lys-cHPLC-18_30-2_Slot1-10_1_699.d,no
PXD050500,bread wheat,node,230224-RD-Node-Trypsin-lys-cHPLC-19_30-1_Slot1-11_1_703.d,no
PXD050500,bread wheat,node,230224-RD-Node-Trypsin-lys-cHPLC-19_30-2_Slot1-11_1_704.d,no
PXD050500,bread wheat,node,230224-RD-Node-Trypsin-lys-cHPLC-20_30-1_Slot1-12_1_705.d,no
PXD050500,bread wheat,node,230224-RD-Node-Trypsin-lys-cHPLC-20_30-2_Slot1-12_1_706.d,no
PXD050500,bread wheat,node,230224-RD-Node-Trypsin-lys-cHPLC-21_30-1_Slot1-13_1_707.d,no
PXD050500,bread wheat,node,230224-RD-Node-Trypsin-lys-cHPLC-21_30-2_Slot1-13_1_708.d,no
PXD050500,bread wheat,node,230224-RD-Node-Trypsin-lys-cHPLC-22_30-1_Slot1-14_1_709.d,no
PXD050500,bread wheat,node,230224-RD-Node-Trypsin-lys-cHPLC-22_30-2_Slot1-14_1_710.d,no
PXD050500,bread wheat,node,230224-RD-Node-Trypsin-lys-cHPLC-23_30-1_Slot1-15_1_711.d,no
PXD050500,bread wheat,node,230224-RD-Node-Trypsin-lys-cHPLC-23_30-2_Slot1-15_1_717.d,no
PXD050500,bread wheat,node,230224-RD-Node-Trypsin-lys-cHPLC-24_30-1_Slot1-16_1_718.d,no
PXD050500,bread wheat,node,230224-RD-Node-Trypsin-lys-cHPLC-24_30-2_Slot1-16_1_719.d,no
PXD050500,bread wheat,node,230224-RD-Node-Trypsin-lys-cHPLC-25_30-1_Slot1-17_1_720.d,no
PXD050500,bread wheat,node,230224-RD-Node-Trypsin-lys-cHPLC-25_30-2_Slot1-17_1_721.d,no
PXD050500,bread wheat,node,230224-RD-Node-Trypsin-lys-cHPLC-26_30-1_Slot1-18_1_722.d,no
PXD050500,bread wheat,node,230224-RD-Node-Trypsin-lys-cHPLC-26_30-2_Slot1-18_1_723.d,no
PXD050500,bread wheat,node,230224-RD-Node-Trypsin-lys-cHPLC-27_30-1_Slot1-19_1_724.d,no
PXD050500,bread wheat,node,230224-RD-Node-Trypsin-lys-cHPLC-27_30-2_Slot1-19_1_728.d,no
PXD050500,bread wheat,node,230224-RD-Node-Trypsin-lys-cHPLC-28_30-1_Slot1-20_1_729.d,no
PXD050500,bread wheat,node,230224-RD-Node-Trypsin-lys-cHPLC-28_30-2_Slot1-20_1_730.d,no
PXD050500,bread wheat,node,230224-RD-Node-Trypsin-lys-cHPLC-29_30-1_Slot1-21_1_731.d,no
PXD050500,bread wheat,node,230224-RD-Node-Trypsin-lys-cHPLC-29_30-2_Slot1-21_1_732.d,no
PXD050500,bread wheat,node,230224-RD-Node-Trypsin-lys-cHPLC-30_30-1_Slot1-22_1_733.d,no
PXD050500,bread wheat,node,230224-RD-Node-Trypsin-lys-cHPLC-30_30-2_Slot1-22_1_734.d,no
PXD050500,bread wheat,radicle,230308-RD-Root-Trypsin-lys-cHPLC-10_30-1_Slot2-10_1_855.d,no
PXD050500,bread wheat,radicle,230308-RD-Root-Trypsin-lys-cHPLC-10_30-2_Slot2-10_1_856.d,no
PXD050500,bread wheat,radicle,230308-RD-Root-Trypsin-lys-cHPLC-11_30-1_Slot2-11_1_857.d,no
PXD050500,bread wheat,radicle,230308-RD-Root-Trypsin-lys-cHPLC-11_30-2_Slot2-11_1_858.d,no
PXD050500,bread wheat,radicle,230308-RD-Root-Trypsin-lys-cHPLC-12_30-1_Slot2-12_1_859.d,no
PXD050500,bread wheat,radicle,230308-RD-Root-Trypsin-lys-cHPLC-12_30-2_Slot2-12_1_860.d,no
PXD050500,bread wheat,radicle,230308-RD-Root-Trypsin-lys-cHPLC-1_30-2_Slot2-01_1_825.d,no
PXD050500,bread wheat,radicle,230308-RD-Root-Trypsin-lys-cHPLC-1_30-3_Slot2-01_1_914.d,no
PXD050500,bread wheat,radicle,230308-RD-Root-Trypsin-lys-cHPLC-2_30-2_Slot2-02_1_830.d,no
PXD050500,bread wheat,radicle,230308-RD-Root-Trypsin-lys-cHPLC-2_30-3_Slot2-02_1_915.d,no
PXD050500,bread wheat,radicle,230308-RD-Root-Trypsin-lys-cHPLC-3_30-1_Slot2-03_1_831.d,no
PXD050500,bread wheat,radicle,230308-RD-Root-Trypsin-lys-cHPLC-3_30-2_Slot2-03_1_832.d,no
PXD050500,bread wheat,radicle,230308-RD-Root-Trypsin-lys-cHPLC-4_30-1_Slot2-04_1_833.d,no
PXD050500,bread wheat,radicle,230308-RD-Root-Trypsin-lys-cHPLC-4_30-2_Slot2-04_1_834.d,no
PXD050500,bread wheat,radicle,230308-RD-Root-Trypsin-lys-cHPLC-5_30-1_Slot2-05_1_835.d,no
PXD050500,bread wheat,radicle,230308-RD-Root-Trypsin-lys-cHPLC-5_30-2_Slot2-05_1_836.d,no
PXD050500,bread wheat,radicle,230308-RD-Root-Trypsin-lys-cHPLC-6_30-1_Slot2-06_1_840.d,no
PXD050500,bread wheat,radicle,230308-RD-Root-Trypsin-lys-cHPLC-6_30-2_Slot2-06_1_841.d,no
PXD050500,bread wheat,radicle,230308-RD-Root-Trypsin-lys-cHPLC-7_30-1_Slot2-07_1_842.d,no
PXD050500,bread wheat,radicle,230308-RD-Root-Trypsin-lys-cHPLC-7_30-2_Slot2-07_1_843.d,no
PXD050500,bread wheat,radicle,230308-RD-Root-Trypsin-lys-cHPLC-8_30-1_Slot2-08_1_844.d,no
PXD050500,bread wheat,radicle,230308-RD-Root-Trypsin-lys-cHPLC-8_30-2_Slot2-08_1_845.d,no
PXD050500,bread wheat,radicle,230308-RD-Root-Trypsin-lys-cHPLC-9_30-1_Slot2-09_1_853.d,no
PXD050500,bread wheat,radicle,230308-RD-Root-Trypsin-lys-cHPLC-9_30-2_Slot2-09_1_854.d,no
PXD050500,bread wheat,radicle,230311-RD-Root-Trypsin-lys-cHPLC-13_30-1_Slot1-55_1_866.d,no
PXD050500,bread wheat,radicle,230311-RD-Root-Trypsin-lys-cHPLC-13_30-2_Slot1-55_1_867.d,no
PXD050500,bread wheat,radicle,230311-RD-Root-Trypsin-lys-cHPLC-14_30-1_Slot1-56_1_868.d,no
PXD050500,bread wheat,radicle,230311-RD-Root-Trypsin-lys-cHPLC-14_30-2_Slot1-56_1_869.d,no
PXD050500,bread wheat,radicle,230311-RD-Root-Trypsin-lys-cHPLC-15_30-1_Slot1-57_1_870.d,no
PXD050500,bread wheat,radicle,230311-RD-Root-Trypsin-lys-cHPLC-15_30-2_Slot1-57_1_871.d,no
PXD050500,bread wheat,radicle,230311-RD-Root-Trypsin-lys-cHPLC-16_30-1_Slot1-58_1_872.d,no
PXD050500,bread wheat,radicle,230311-RD-Root-Trypsin-lys-cHPLC-16_30-2_Slot1-58_1_873.d,no
PXD050500,bread wheat,radicle,230311-RD-Root-Trypsin-lys-cHPLC-17_30-1_Slot1-59_1_877.d,no
PXD050500,bread wheat,radicle,230311-RD-Root-Trypsin-lys-cHPLC-17_30-2_Slot1-59_1_878.d,no
PXD050500,bread wheat,radicle,230311-RD-Root-Trypsin-lys-cHPLC-18_30-1_Slot1-60_1_879.d,no
PXD050500,bread wheat,radicle,230311-RD-Root-Trypsin-lys-cHPLC-18_30-2_Slot1-60_1_880.d,no
PXD050500,bread wheat,radicle,230311-RD-Root-Trypsin-lys-cHPLC-19_30-1_Slot1-61_1_881.d,no
PXD050500,bread wheat,radicle,230311-RD-Root-Trypsin-lys-cHPLC-19_30-2_Slot1-61_1_882.d,no
PXD050500,bread wheat,radicle,230311-RD-Root-Trypsin-lys-cHPLC-20_30-1_Slot1-62_1_883.d,no
